date,day,due_type,due_detail,who,week
19/09/2022,Monday,,,,,1
20/09/2022,Tuesday,,,,,1
21/09/2022,Wednesday,,,,,1
22/09/2022,Thursday,,,,,1
23/09/2022,Friday,,,,,1
24/09/2022,Saturday,,,,,1
25/09/2022,Sunday,Quiz,,,,,1
26/09/2022,Monday,Quiz,OQ00,Individual,2
27/09/2022,Tuesday,..,2
28/09/2022,Wednesday,,,,,2
29/09/2022,Thursday,Homework,HW00,Not marked,Individual,2
30/09/2022,Friday,,,,,2
01/10/2022,Saturday,,,,,2
02/10/2022,Sunday,Quiz,OQ01,Marked,Individual,2
03/10/2022,Monday,,,,,3
04/10/2022,Tuesday,,,,,3
05/10/2022,Wednesday,,,,,3
06/10/2022,Thursday,Lab,Lab01 (delay),Marked,Individual,3
07/10/2022,Friday,,,,,3
08/10/2022,Saturday,Feedback survey,Course,Not marked,Individual,3
09/10/2022,Sunday,Quiz,OQ02,Marked,Individual,3
10/10/2022,Monday,,,,,4
11/10/2022,Tuesday,Lab,Lab02,Marked,Team,4
12/10/2022,Wednesday,,,,,4
13/10/2022,Thursday,Homework,HW01,Marked,Individual,4
14/10/2022,Friday,,,,,4
15/10/2022,Saturday,Feedback survey,Peer,Marked,Individual,4
16/10/2022,Sunday,Quiz,OQ03,Marked,Individual,4
17/10/2022,Monday,,,,,5
18/10/2022,Tuesday,Lab,Lab03,Marked,Team,5
19/10/2022,Wednesday,,,,,5
20/10/2022,Thursday,,,,,5
21/10/2022,Friday,,,,,5
22/10/2022,Saturday,,,,,5
23/10/2022,Sunday,,,,,5
24/10/2022,Monday,,,,,6
25/10/2022,Tuesday,Project,Proposal,Marked,Team,6
26/10/2022,Wednesday,Quiz,OQ04,Marked,Individual,6
27/10/2022,Thursday,Homework,HW02,Marked,Individual,6
28/10/2022,Friday,,,,,6
29/10/2022,Saturday,Feedback survey,Course,Not marked,Individual,6
30/10/2022,Sunday,,,,,6
31/10/2022,Monday,,,,,7
01/11/2022,Tuesday,Lab,Lab04,Marked,Team,7
02/11/2022,Wednesday,Quiz,OQ05,Marked,Individual,7
03/11/2022,Thursday,,,,,7
04/11/2022,Friday,,,,,7
05/11/2022,Saturday,Feedback survey,Peer,Marked,Individual,7
06/11/2022,Sunday,,,,,7
07/11/2022,Monday,,,,,8
08/11/2022,Tuesday,Lab,Lab05,Marked,Team,8
09/11/2022,Wednesday,Quiz,OQ06,Marked,Individual,8
10/11/2022,Thursday,Homework,HW03,Marked,Individual,8
11/11/2022,Friday,Project,"Proposal,
take 2",Marked,Team,8
12/11/2022,Saturday,,,,,8
13/11/2022,Sunday,,,,,8
14/11/2022,Monday,,,,,9
15/11/2022,Tuesday,Lab,Lab06,Marked,Team,9
16/11/2022,Wednesday,Quiz,OQ07,Marked,Individual,9
17/11/2022,Thursday,,,,,9
18/11/2022,Friday,,,,,9
19/11/2022,Saturday,Feedback survey,Peer,Marked,Individual,9
20/11/2022,Sunday,,,,,9
21/11/2022,Monday,,,,,10
22/11/2022,Tuesday,Lab,Lab07,Marked,Team,10
23/11/2022,Wednesday,Quiz,OQ08,Marked,Individual,10
24/11/2022,Thursday,Homework,HW04,Marked,Individual,10
25/11/2022,Friday,,,,,10
26/11/2022,Saturday,,,,,10
27/11/2022,Sunday,,,,,10
28/11/2022,Monday,,,,,11
29/11/2022,Tuesday,,,,,11
30/11/2022,Wednesday,Quiz,OQ09,Marked,Individual,11
01/12/2022,Thursday,,,,,11
02/12/2022,Friday,Project,Project,Marked,Team,11
03/12/2022,Saturday, Feedback survey,Peer,Marked,Individual,11
04/12/2022,Sunday,,,,,11
05/12/2022,Monday,,,,,12
06/12/2022,Tuesday,,,,,12
07/12/2022,Wednesday,Quiz,OQ10,Marked,Individual,12
08/12/2022,Thursday,Homework,HW05,Marked,Individual,12
09/12/2022,Friday,,,,,12
10/12/2022,Saturday,,,,,12
11/12/2022,Sunday,,,,,12
